timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,abstrais,abstrais,abstrait,abstrais,abstrais,abstrait,,,,
IND-IM,abstrayais,abstrayais,abstrayait,abstrayais,abstrayais,abstrayait,,,,
IND-FS,abstrairai,abstrairas,abstraira,abstrairai,abstrairas,abstraira,,,,
IND-PS,,,,,,,,,,
SUB-PR,abstraie,abstraies,abstraie,abstraie,abstraies,abstraie,,,,
SUB-IM,,,,,,,,,,
CON-PR,abstrairais,abstrairais,abstrairait,abstrairais,abstrairais,abstrairait,,,,
IMP-PR,,abstrais,,,abstrais,,,,,
PAR-PR,,,abstrayant,,,abstrayant,,,,
