timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,accours,accours,accourt,accours,accours,accourt,,,,
IND-IM,accourais,accourais,accourait,accourais,accourais,accourait,,,,
IND-FS,accourrai,accourras,accourra,accourrai,accourras,accourra,,,,
IND-PS,accourus,accourus,accourut,accourus,accourus,accourut,,,,
SUB-PR,accoure,accoures,accoure,accoure,accoures,accoure,,,,
SUB-IM,accourusse,accourusses,accourÃ»t,accourusse,accourusses,accourÃ»t,,,,
CON-PR,accourrais,accourrais,accourrait,accourrais,accourrais,accourrait,,,,
IMP-PR,,accours,,,accours,,,,,
PAR-PR,,,accourant,,,accourant,,,,
