timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,accroîs,accroîs,accroît,accroîs,accroîs,accroît,,,,
IND-IM,accroissais,accroissais,accroissait,accroissais,accroissais,accroissait,,,,
IND-FS,accroîtrai,accroîtras,accroîtra,accroîtrai,accroîtras,accroîtra,,,,
IND-PS,accrus,accrus,accrut,accrus,accrus,accrut,,,,
SUB-PR,accroisse,accroisses,accroisse,accroisse,accroisses,accroisse,,,,
SUB-IM,accrusse,accrusses,accrÃ»t,accrusse,accrusses,accrÃ»t,,,,
CON-PR,accroîtrais,accroîtrais,accroîtrait,accroîtrais,accroîtrais,accroîtrait,,,,
IMP-PR,,accrois,,,accrois,,,,,
PAR-PR,,,accroissant,,,accroissant,,,,
