timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,acquiers,acquiers,acquiert,acquiers,acquiers,acquiert,,,,
IND-IM,acquérais,acquérais,acquérait,acquérais,acquérais,acquérait,,,,
IND-FS,acquerrai,acquerras,acquerra,acquerrai,acquerras,acquerra,,,,
IND-PS,acquis,acquis,acquit,acquis,acquis,acquit,,,,
SUB-PR,acquière,acquières,acquière,acquière,acquières,acquière,,,,
SUB-IM,acquisse,acquisses,acquÃ®t,acquisse,acquisses,acquÃ®t,,,,
CON-PR,acquerrais,acquerrais,acquerrait,acquerrais,acquerrais,acquerrait,,,,
IMP-PR,,acquiers,,,acquiers,,,,,
PAR-PR,,,acquérant,,,acquérant,,,,
