timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,aperçois,aperçois,aperçoit,aperçois,aperçois,aperçoit,,,,
IND-IM,apercevais,apercevais,apercevait,apercevais,apercevais,apercevait,,,,
IND-FS,apercevrai,apercevras,apercevra,apercevrai,apercevras,apercevra,,,,
IND-PS,aperçus,aperçus,aperçut,aperçus,aperçus,aperçut,,,,
SUB-PR,aperçoive,aperçoives,aperçoive,aperçoive,aperçoives,aperçoive,,,,
SUB-IM,aperçusse,aperçusses,aperçût,aperçusse,aperçusses,aperçût,,,,
CON-PR,apercevrais,apercevrais,apercevrait,apercevrais,apercevrais,apercevrait,,,,
IMP-PR,,aperÃ§ois,,,aperÃ§ois,,,,,
PAR-PR,,,apercevant,,,apercevant,,,,
