timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,apparais,apparais,apparaÃ®t,apparais,apparais,apparaÃ®t,,,,
IND-IM,apparaissais,apparaissais,apparaissait,apparaissais,apparaissais,apparaissait,,,,
IND-FS,apparaîtrai,apparaîtras,apparaîtra,apparaîtrai,apparaîtras,apparaîtra,,,,
IND-PS,apparus,apparus,apparut,apparus,apparus,apparut,,,,
SUB-PR,apparaisse,apparaisses,apparaisse,apparaisse,apparaisses,apparaisse,,,,
SUB-IM,apparusse,apparusses,apparÃ»t,apparusse,apparusses,apparÃ»t,,,,
CON-PR,apparaîtrais,apparaîtrais,apparaîtrait,apparaîtrais,apparaîtrais,apparaîtrait,,,,
IMP-PR,,apparais,,,apparais,,,,,
PAR-PR,,,apparaissant,,,apparaissant,,,,
