timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,circoncis,circoncis,circoncit,circoncis,circoncis,circoncit,,,,
IND-IM,circoncisais,circoncisais,circoncisait,circoncisais,circoncisais,circoncisait,,,,
IND-FS,circoncirai,circonciras,circoncira,circoncirai,circonciras,circoncira,,,,
IND-PS,circoncis,circoncis,circoncit,circoncis,circoncis,circoncit,,,,
SUB-PR,circoncise,circoncises,circoncise,circoncise,circoncises,circoncise,,,,
SUB-IM,circoncisse,circoncisses,circonc̨t,circoncisse,circoncisses,circonc̨t,,,,
CON-PR,circoncirais,circoncirais,circoncirait,circoncirais,circoncirais,circoncirait,,,,
IMP-PR,,circoncis,,,circoncis,,,,,
PAR-PR,,,circoncisant,,,circoncisant,,,,
