timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,circonviens,circonviens,circonvient,circonviens,circonviens,circonvient,,,,
IND-IM,circonvenais,circonvenais,circonvenait,circonvenais,circonvenais,circonvenait,,,,
IND-FS,circonviendrai,circonviendras,circonviendra,circonviendrai,circonviendras,circonviendra,,,,
IND-PS,circonvins,circonvins,circonvint,circonvins,circonvins,circonvint,,,,
SUB-PR,circonvienne,circonviennes,circonvienne,circonvienne,circonviennes,circonvienne,,,,
SUB-IM,circonvinsse,circonvinsses,circonv̨nt,circonvinsse,circonvinsses,circonv̨nt,,,,
CON-PR,circonviendrais,circonviendrais,circonviendrait,circonviendrais,circonviendrais,circonviendrait,,,,
IMP-PR,,circonviens,,,circonviens,,,,,
PAR-PR,,,circonvenant,,,circonvenant,,,,
