timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,comparais,comparais,comparaÃ®t,comparais,comparais,comparaÃ®t,,,,
IND-IM,comparaissais,comparaissais,comparaissait,comparaissais,comparaissais,comparaissait,,,,
IND-FS,comparaîtrai,comparaîtras,comparaîtra,comparaîtrai,comparaîtras,comparaîtra,,,,
IND-PS,comparus,comparus,comparut,comparus,comparus,comparut,,,,
SUB-PR,comparaisse,comparaisses,comparaisse,comparaisse,comparaisses,comparaisse,,,,
SUB-IM,comparusse,comparusses,comparÃ»t,comparusse,comparusses,comparÃ»t,,,,
CON-PR,comparaîtrais,comparaîtrais,comparaîtrait,comparaîtrais,comparaîtrais,comparaîtrait,,,,
IMP-PR,,comparais,,,comparais,,,,,
PAR-PR,,,comparaissant,,,comparaissant,,,,
