timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,complais,complais,complaÃ®t,complais,complais,complaÃ®t,,,,
IND-IM,complaisais,complaisais,complaisait,complaisais,complaisais,complaisait,,,,
IND-FS,complairai,complairas,complaira,complairai,complairas,complaira,,,,
IND-PS,complus,complus,complut,complus,complus,complut,,,,
SUB-PR,complaise,complaises,complaise,complaise,complaises,complaise,,,,
SUB-IM,complusse,complusses,complÃ»t,complusse,complusses,complÃ»t,,,,
CON-PR,complairais,complairais,complairait,complairais,complairais,complairait,,,,
IMP-PR,,complais,,,complais,,,,,
PAR-PR,,,complaisant,,,complaisant,,,,
