timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,conçois,conçois,conçoit,conçois,conçois,conçoit,,,,
IND-IM,concevais,concevais,concevait,concevais,concevais,concevait,,,,
IND-FS,concevrai,concevras,concevra,concevrai,concevras,concevra,,,,
IND-PS,conçus,conçus,conçut,conçus,conçus,conçut,,,,
SUB-PR,conçoive,conçoives,conçoive,conçoive,conçoives,conçoive,,,,
SUB-IM,conçusse,conçusses,conçût,conçusse,conçusses,conçût,,,,
CON-PR,concevrais,concevrais,concevrait,concevrais,concevrais,concevrait,,,,
IMP-PR,,conÃ§ois,,,conÃ§ois,,,,,
PAR-PR,,,concevant,,,concevant,,,,
