timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,conclus,conclus,conclut,conclus,conclus,conclut,,,,
IND-IM,concluais,concluais,concluait,concluais,concluais,concluait,,,,
IND-FS,conclurai,concluras,conclura,conclurai,concluras,conclura,,,,
IND-PS,conclus,conclus,conclut,conclus,conclus,conclut,,,,
SUB-PR,conclue,conclues,conclue,conclue,conclues,conclue,,,,
SUB-IM,conclusse,conclusses,conclÃ»t,conclusse,conclusses,conclÃ»t,,,,
CON-PR,conclurais,conclurais,conclurait,conclurais,conclurais,conclurait,,,,
IMP-PR,,conclus,,,conclus,,,,,
PAR-PR,,,concluant,,,concluant,,,,
