timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,concours,concours,concourt,concours,concours,concourt,,,,
IND-IM,concourais,concourais,concourait,concourais,concourais,concourait,,,,
IND-FS,concourrai,concourras,concourra,concourrai,concourras,concourra,,,,
IND-PS,concourus,concourus,concourut,concourus,concourus,concourut,,,,
SUB-PR,concoure,concoures,concoure,concoure,concoures,concoure,,,,
SUB-IM,concourusse,concourusses,concourÃ»t,concourusse,concourusses,concourÃ»t,,,,
CON-PR,concourrais,concourrais,concourrait,concourrais,concourrais,concourrait,,,,
IMP-PR,,concours,,,concours,,,,,
PAR-PR,,,concourant,,,concourant,,,,
