timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,connais,connais,connaÃ®t,connais,connais,connaÃ®t,,,,
IND-IM,connaissais,connaissais,connaissait,connaissais,connaissais,connaissait,,,,
IND-FS,connaîtrai,connaîtras,connaîtra,connaîtrai,connaîtras,connaîtra,,,,
IND-PS,connus,connus,connut,connus,connus,connut,,,,
SUB-PR,connaisse,connaisses,connaisse,connaisse,connaisses,connaisse,,,,
SUB-IM,connusse,connusses,connÃ»t,connusse,connusses,connÃ»t,,,,
CON-PR,connaîtrais,connaîtrais,connaîtrait,connaîtrais,connaîtrais,connaîtrait,,,,
IMP-PR,,connais,,,connais,,,,,
PAR-PR,,,connaissant,,,connaissant,,,,
