timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,conquiers,conquiers,conquiert,conquiers,conquiers,conquiert,,,,
IND-IM,conquérais,conquérais,conquérait,conquérais,conquérais,conquérait,,,,
IND-FS,conquerrai,conquerras,conquerra,conquerrai,conquerras,conquerra,,,,
IND-PS,conquis,conquis,conquit,conquis,conquis,conquit,,,,
SUB-PR,conquière,conquières,conquière,conquière,conquières,conquière,,,,
SUB-IM,conquisse,conquisses,conquÃ®t,conquisse,conquisses,conquÃ®t,,,,
CON-PR,conquerrais,conquerrais,conquerrait,conquerrais,conquerrais,conquerrait,,,,
IMP-PR,,conquiers,,,conquiers,,,,,
PAR-PR,,,conquérant,,,conquérant,,,,
