timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,croîs,croîs,croît,croîs,croîs,croît,,,,
IND-IM,croissais,croissais,croissait,croissais,croissais,croissait,,,,
IND-FS,croîtrai,croîtras,croîtra,croîtrai,croîtras,croîtra,,,,
IND-PS,crûs,crûs,crût,crûs,crûs,crût,,,,
SUB-PR,croisse,croisses,croisse,croisse,croisses,croisse,,,,
SUB-IM,crûsse,crûsses,crût,crûsse,crûsses,crût,,,,
CON-PR,croîtrais,croîtrais,croîtrait,croîtrais,croîtrais,croîtrait,,,,
IMP-PR,,crois,,,crois,,,,,
PAR-PR,,,croissant,,,croissant,,,,
