timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,discours,discours,discourt,discours,discours,discourt,,,,
IND-IM,discourais,discourais,discourait,discourais,discourais,discourait,,,,
IND-FS,discourrai,discourras,discourra,discourrai,discourras,discourra,,,,
IND-PS,discourus,discourus,discourut,discourus,discourus,discourut,,,,
SUB-PR,discoure,discoures,discoure,discoure,discoures,discoure,,,,
SUB-IM,discourusse,discourusses,discourÃ»t,discourusse,discourusses,discourÃ»t,,,,
CON-PR,discourrais,discourrais,discourrait,discourrais,discourrais,discourrait,,,,
IMP-PR,,discours,,,discours,,,,,
PAR-PR,,,discourant,,,discourant,,,,
