timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,disparais,disparais,disparaÃ®t,disparais,disparais,disparaÃ®t,,,,
IND-IM,disparaissais,disparaissais,disparaissait,disparaissais,disparaissais,disparaissait,,,,
IND-FS,disparaîtrai,disparaîtras,disparaîtra,disparaîtrai,disparaîtras,disparaîtra,,,,
IND-PS,disparus,disparus,disparut,disparus,disparus,disparut,,,,
SUB-PR,disparaisse,disparaisses,disparaisse,disparaisse,disparaisses,disparaisse,,,,
SUB-IM,disparusse,disparusses,disparÃ»t,disparusse,disparusses,disparÃ»t,,,,
CON-PR,disparaîtrais,disparaîtrais,disparaîtrait,disparaîtrais,disparaîtrais,disparaîtrait,,,,
IMP-PR,,disparais,,,disparais,,,,,
PAR-PR,,,disparaissant,,,disparaissant,,,,
