timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,débats,débats,,débats,débats,,,,,
IND-IM,débattais,débattais,débattait,débattais,débattais,débattait,,,,
IND-FS,débattrai,débattras,débattra,débattrai,débattras,débattra,,,,
IND-PS,débattis,débattis,débattit,débattis,débattis,débattit,,,,
SUB-PR,débatte,débattes,débatte,débatte,débattes,débatte,,,,
SUB-IM,débattisse,débattisses,débattît,débattisse,débattisses,débattît,,,,
CON-PR,débattrais,débattrais,débattrait,débattrais,débattrais,débattrait,,,,
IMP-PR,,débats,,,débats,,,,,
PAR-PR,,,débattant,,,débattant,,,,
