timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,déçois,déçois,déçoit,déçois,déçois,déçoit,,,,
IND-IM,décevais,décevais,décevait,décevais,décevais,décevait,,,,
IND-FS,décevrai,décevras,décevra,décevrai,décevras,décevra,,,,
IND-PS,déçus,déçus,déçut,déçus,déçus,déçut,,,,
SUB-PR,déçoive,déçoives,déçoive,déçoive,déçoives,déçoive,,,,
SUB-IM,déçusse,déçusses,déçût,déçusse,déçusses,déçût,,,,
CON-PR,décevrais,décevrais,décevrait,décevrais,décevrais,décevrait,,,,
IMP-PR,,déçois,,,déçois,,,,,
PAR-PR,,,décevant,,,décevant,,,,
