timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,découds,découds,découd,découds,découds,découd,,,,
IND-IM,décousais,décousais,décousait,décousais,décousais,décousait,,,,
IND-FS,découdrai,découdras,découdra,découdrai,découdras,découdra,,,,
IND-PS,décousis,décousis,décousit,décousis,décousis,décousit,,,,
SUB-PR,découse,découses,découse,découse,découses,découse,,,,
SUB-IM,décousisse,décousisses,décousît,décousisse,décousisses,décousît,,,,
CON-PR,découdrais,découdrais,découdrait,découdrais,découdrais,découdrait,,,,
IMP-PR,,découds,,,découds,,,,,
PAR-PR,,,décousant,,,décousant,,,,
