timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,découvre,découvres,découvre,découvre,découvres,découvre,,,,
IND-IM,découvrais,découvrais,découvrait,découvrais,découvrais,découvrait,,,,
IND-FS,découvrirai,découvriras,découvrira,découvrirai,découvriras,découvrira,,,,
IND-PS,découvris,découvris,découvrit,découvris,découvris,découvrit,,,,
SUB-PR,découvre,découvres,découvre,découvre,découvres,découvre,,,,
SUB-IM,découvrisse,découvrisses,découvrît,découvrisse,découvrisses,découvrît,,,,
CON-PR,découvrirais,découvrirais,découvrirait,découvrirais,découvrirais,découvrirait,,,,
IMP-PR,,découvre,,,découvre,,,,,
PAR-PR,,,découvrant,,,découvrant,,,,
