timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,décris,décris,décrit,décris,décris,décrit,,,,
IND-IM,décrivais,décrivais,décrivait,décrivais,décrivais,décrivait,,,,
IND-FS,décrirai,décriras,décrira,décrirai,décriras,décrira,,,,
IND-PS,décrivis,décrivis,décrivit,décrivis,décrivis,décrivit,,,,
SUB-PR,décrive,décrives,décrive,décrive,décrives,décrive,,,,
SUB-IM,décrivisse,décrivisses,décrivît,décrivisse,décrivisses,décrivît,,,,
CON-PR,décrirais,décrirais,décrirait,décrirais,décrirais,décrirait,,,,
IMP-PR,,décris,,,décris,,,,,
PAR-PR,,,décrivant,,,décrivant,,,,
