timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,décroîs,décroîs,décroît,décroîs,décroîs,décroît,,,,
IND-IM,décroissais,décroissais,décroissait,décroissais,décroissais,décroissait,,,,
IND-FS,décroîtrai,décroîtras,décroîtra,décroîtrai,décroîtras,décroîtra,,,,
IND-PS,décrus,décrus,décrut,décrus,décrus,décrut,,,,
SUB-PR,décroisse,décroisses,décroisse,décroisse,décroisses,décroisse,,,,
SUB-IM,décrusse,décrusses,décrût,décrusse,décrusses,décrût,,,,
CON-PR,décroîtrais,décroîtrais,décroîtrait,décroîtrais,décroîtrais,décroîtrait,,,,
IMP-PR,,décrois,,,décrois,,,,,
PAR-PR,,,décroissant,,,décroissant,,,,
