timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,déduis,déduis,déduit,déduis,déduis,déduit,,,,
IND-IM,déduisais,déduisais,déduisait,déduisais,déduisais,déduisait,,,,
IND-FS,déduirai,déduiras,déduira,déduirai,déduiras,déduira,,,,
IND-PS,déduisis,déduisis,déduisit,déduisis,déduisis,déduisit,,,,
SUB-PR,déduise,déduises,déduise,déduise,déduises,déduise,,,,
SUB-IM,déduisisse,déduisisses,déduisît,déduisisse,déduisisses,déduisît,,,,
CON-PR,déduirais,déduirais,déduirait,déduirais,déduirais,déduirait,,,,
IMP-PR,,déduis,,,déduis,,,,,
PAR-PR,,,déduisant,,,déduisant,,,,
