timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,défaille,défailles,défaille,défaille,défailles,défaille,,,,
IND-IM,défaillais,défaillais,défaillait,défaillais,défaillais,défaillait,,,,
IND-FS,défaillirai,défailliras,défaillira,défaillirai,défailliras,défaillira,,,,
IND-PS,défaillis,défaillis,défaillit,défaillis,défaillis,défaillit,,,,
SUB-PR,défaille,défailles,défaille,défaille,défailles,défaille,,,,
SUB-IM,défaillisse,défaillisses,défaillît,défaillisse,défaillisses,défaillît,,,,
CON-PR,défaillirais,défaillirais,défaillirait,défaillirais,défaillirais,défaillirait,,,,
IMP-PR,,défaille,,,défaille,,,,,
PAR-PR,,,défaillant,,,défaillant,,,,
