timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,défais,défais,défait,défais,défais,défait,,,,
IND-IM,défaisais,défaisais,défaisait,défaisais,défaisais,défaisait,,,,
IND-FS,déferai,déferas,défera,déferai,déferas,défera,,,,
IND-PS,défis,défis,défit,défis,défis,défit,,,,
SUB-PR,défasse,défasses,défasse,défasse,défasses,défasse,,,,
SUB-IM,défisse,défisses,défît,défisse,défisses,défît,,,,
CON-PR,déferais,déferais,déferait,déferais,déferais,déferait,,,,
IMP-PR,,défais,,,défais,,,,,
PAR-PR,,,défaisant,,,défaisant,,,,
