timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,défends,défends,défend,défends,défends,défend,,,,
IND-IM,défendais,défendais,défendait,défendais,défendais,défendait,,,,
IND-FS,défendrai,défendras,défendra,défendrai,défendras,défendra,,,,
IND-PS,défendis,défendis,défendit,défendis,défendis,défendit,,,,
SUB-PR,défende,défendes,défende,défende,défendes,défende,,,,
SUB-IM,défendisse,défendisses,défendît,défendisse,défendisses,défendît,,,,
CON-PR,défendrais,défendrais,défendrait,défendrais,défendrais,défendrait,,,,
IMP-PR,,défends,,,défends,,,,,
PAR-PR,,,défendant,,,défendant,,,,
