timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,démens,démens,dément,démens,démens,dément,,,,
IND-IM,démentais,démentais,démentait,démentais,démentais,démentait,,,,
IND-FS,démentirai,démentiras,démentira,démentirai,démentiras,démentira,,,,
IND-PS,démentis,démentis,démentit,démentis,démentis,démentit,,,,
SUB-PR,démente,démentes,démente,démente,démentes,démente,,,,
SUB-IM,démentisse,démentisses,démentît,démentisse,démentisses,démentît,,,,
CON-PR,démentirais,démentirais,démentirait,démentirais,démentirais,démentirait,,,,
IMP-PR,,démens,,,démens,,,,,
PAR-PR,,,démentant,,,démentant,,,,
