timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,démets,démets,démet,démets,démets,démet,,,,
IND-IM,démettais,démettais,démettait,démettais,démettais,démettait,,,,
IND-FS,démettrai,démettras,démettra,démettrai,démettras,démettra,,,,
IND-PS,démis,démis,démit,démis,démis,démit,,,,
SUB-PR,démette,démettes,démette,démette,démettes,démette,,,,
SUB-IM,démisse,démisses,démît,démisse,démisses,démît,,,,
CON-PR,démettrais,démettrais,démettrait,démettrais,démettrais,démettrait,,,,
IMP-PR,,démets,,,démets,,,,,
PAR-PR,,,démettant,,,démettant,,,,
