timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,démords,démords,démord,démords,démords,démord,,,,
IND-IM,démordais,démordais,démordait,démordais,démordais,démordait,,,,
IND-FS,démordrai,démordras,démordra,démordrai,démordras,démordra,,,,
IND-PS,démordis,démordis,démordit,démordis,démordis,démordit,,,,
SUB-PR,démorde,démordes,démorde,démorde,démordes,démorde,,,,
SUB-IM,démordisse,démordisses,démordît,démordisse,démordisses,démordît,,,,
CON-PR,démordrais,démordrais,démordrait,démordrais,démordrais,démordrait,,,,
IMP-PR,,démords,,,démords,,,,,
PAR-PR,,,démordant,,,démordant,,,,
