timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,dépars,dépars,départ,dépars,dépars,départ,,,,
IND-IM,départais,départais,départait,départais,départais,départait,,,,
IND-FS,départirai,départiras,départira,départirai,départiras,départira,,,,
IND-PS,départis,départis,départit,départis,départis,départit,,,,
SUB-PR,départe,départes,départe,départe,départes,départe,,,,
SUB-IM,départisse,départisses,départît,départisse,départisses,départît,,,,
CON-PR,départirais,départirais,départirait,départirais,départirais,départirait,,,,
IMP-PR,,dépars,,,dépars,,,,,
PAR-PR,,,départant,,,départant,,,,
