timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,dépeins,dépeins,dépeint,dépeins,dépeins,dépeint,,,,
IND-IM,dépeignais,dépeignais,dépeignait,dépeignais,dépeignais,dépeignait,,,,
IND-FS,dépeindrai,dépeindras,dépeindra,dépeindrai,dépeindras,dépeindra,,,,
IND-PS,dépeignis,dépeignis,dépeignit,dépeignis,dépeignis,dépeignit,,,,
SUB-PR,dépeigne,dépeignes,dépeigne,dépeigne,dépeignes,dépeigne,,,,
SUB-IM,dépeignisse,dépeignisses,dépeignît,dépeignisse,dépeignisses,dépeignît,,,,
CON-PR,dépeindrais,dépeindrais,dépeindrait,dépeindrais,dépeindrais,dépeindrait,,,,
IMP-PR,,dépeins,,,dépeins,,,,,
PAR-PR,,,dépeignant,,,dépeignant,,,,
