timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,dépends,dépends,dépend,dépends,dépends,dépend,,,,
IND-IM,dépendais,dépendais,dépendait,dépendais,dépendais,dépendait,,,,
IND-FS,dépendrai,dépendras,dépendra,dépendrai,dépendras,dépendra,,,,
IND-PS,dépendis,dépendis,dépendit,dépendis,dépendis,dépendit,,,,
SUB-PR,dépende,dépendes,dépende,dépende,dépendes,dépende,,,,
SUB-IM,dépendisse,dépendisses,dépendît,dépendisse,dépendisses,dépendît,,,,
CON-PR,dépendrais,dépendrais,dépendrait,dépendrais,dépendrais,dépendrait,,,,
IMP-PR,,dépends,,,dépends,,,,,
PAR-PR,,,dépendant,,,dépendant,,,,
