timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,déplais,déplais,déplaît,déplais,déplais,déplaît,,,,
IND-IM,déplaisais,déplaisais,déplaisait,déplaisais,déplaisais,déplaisait,,,,
IND-FS,déplairai,déplairas,déplaira,déplairai,déplairas,déplaira,,,,
IND-PS,déplus,déplus,déplut,déplus,déplus,déplut,,,,
SUB-PR,déplaise,déplaises,déplaise,déplaise,déplaises,déplaise,,,,
SUB-IM,déplusse,déplusses,déplût,déplusse,déplusses,déplût,,,,
CON-PR,déplairais,déplairais,déplairait,déplairais,déplairais,déplairait,,,,
IMP-PR,,déplais,,,déplais,,,,,
PAR-PR,,,déplaisant,,,déplaisant,,,,
