timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,déprends,déprends,déprend,déprends,déprends,déprend,,,,
IND-IM,déprenais,déprenais,déprenait,déprenais,déprenais,déprenait,,,,
IND-FS,déprendrai,déprendras,déprendra,déprendrai,déprendras,déprendra,,,,
IND-PS,dépris,dépris,déprit,dépris,dépris,déprit,,,,
SUB-PR,déprenne,déprennes,déprenne,déprenne,déprennes,déprenne,,,,
SUB-IM,déprisse,déprisses,déprît,déprisse,déprisses,déprît,,,,
CON-PR,déprendrais,déprendrais,déprendrait,déprendrais,déprendrais,déprendrait,,,,
IMP-PR,,déprends,,,déprends,,,,,
PAR-PR,,,déprenant,,,déprenant,,,,
