timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,désapprends,désapprends,désapprend,désapprends,désapprends,désapprend,,,,
IND-IM,désapprenais,désapprenais,désapprenait,désapprenais,désapprenais,désapprenait,,,,
IND-FS,désapprendrai,désapprendras,désapprendra,désapprendrai,désapprendras,désapprendra,,,,
IND-PS,désappris,désappris,désapprit,désappris,désappris,désapprit,,,,
SUB-PR,désapprenne,désapprennes,désapprenne,désapprenne,désapprennes,désapprenne,,,,
SUB-IM,désapprisse,désapprisses,désapprît,désapprisse,désapprisses,désapprît,,,,
CON-PR,désapprendrais,désapprendrais,désapprendrait,désapprendrais,désapprendrais,désapprendrait,,,,
IMP-PR,,désapprends,,,désapprends,,,,,
PAR-PR,,,désapprenant,,,désapprenant,,,,
