timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,déteins,déteins,déteint,déteins,déteins,déteint,,,,
IND-IM,déteignais,déteignais,déteignait,déteignais,déteignais,déteignait,,,,
IND-FS,déteindrai,déteindras,déteindra,déteindrai,déteindras,déteindra,,,,
IND-PS,déteignis,déteignis,déteignit,déteignis,déteignis,déteignit,,,,
SUB-PR,déteigne,déteignes,déteigne,déteigne,déteignes,déteigne,,,,
SUB-IM,déteignisse,déteignisses,déteignît,déteignisse,déteignisses,déteignît,,,,
CON-PR,déteindrais,déteindrais,déteindrait,déteindrais,déteindrais,déteindrait,,,,
IMP-PR,,déteins,,,déteins,,,,,
PAR-PR,,,déteignant,,,déteignant,,,,
