timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,détends,détends,détend,détends,détends,détend,,,,
IND-IM,détendais,détendais,détendait,détendais,détendais,détendait,,,,
IND-FS,détendrai,détendras,détendra,détendrai,détendras,détendra,,,,
IND-PS,détendis,détendis,détendit,détendis,détendis,détendit,,,,
SUB-PR,détende,détendes,détende,détende,détendes,détende,,,,
SUB-IM,détendisse,détendisses,détendît,détendisse,détendisses,détendît,,,,
CON-PR,détendrais,détendrais,détendrait,détendrais,détendrais,détendrait,,,,
IMP-PR,,détends,,,détends,,,,,
PAR-PR,,,détendant,,,détendant,,,,
