timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,détiens,détiens,détient,détiens,détiens,détient,,,,
IND-IM,détenais,détenais,détenait,détenais,détenais,détenait,,,,
IND-FS,détiendrai,détiendras,détiendra,détiendrai,détiendras,détiendra,,,,
IND-PS,détins,détins,détint,détins,détins,détint,,,,
SUB-PR,détienne,détiennes,détienne,détienne,détiennes,détienne,,,,
SUB-IM,détinsse,détinsses,détînt,détinsse,détinsses,détînt,,,,
CON-PR,détiendrais,détiendrais,détiendrait,détiendrais,détiendrais,détiendrait,,,,
IMP-PR,,détiens,,,détiens,,,,,
PAR-PR,,,détenant,,,détenant,,,,
