timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,détords,détords,détord,détords,détords,détord,,,,
IND-IM,détordais,détordais,détordait,détordais,détordais,détordait,,,,
IND-FS,détordrai,détordras,détordra,détordrai,détordras,détordra,,,,
IND-PS,détordis,détordis,détordit,détordis,détordis,détordit,,,,
SUB-PR,détorde,détordes,détorde,détorde,détordes,détorde,,,,
SUB-IM,détordisse,détordisses,détordît,détordisse,détordisses,détordît,,,,
CON-PR,détordrais,détordrais,détordrait,détordrais,détordrais,détordrait,,,,
IMP-PR,,détords,,,détords,,,,,
PAR-PR,,,détordant,,,détordant,,,,
