timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,détruis,détruis,détruit,détruis,détruis,détruit,,,,
IND-IM,détruisais,détruisais,détruisait,détruisais,détruisais,détruisait,,,,
IND-FS,détruirai,détruiras,détruira,détruirai,détruiras,détruira,,,,
IND-PS,détruisis,détruisis,détruisit,détruisis,détruisis,détruisit,,,,
SUB-PR,détruise,détruises,détruise,détruise,détruises,détruise,,,,
SUB-IM,détruisisse,détruisisses,détruisît,détruisisse,détruisisses,détruisît,,,,
CON-PR,détruirais,détruirais,détruirait,détruirais,détruirais,détruirait,,,,
IMP-PR,,détruis,,,détruis,,,,,
PAR-PR,,,dÃ©truisant,,,dÃ©truisant,,,,
