timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,dévêts,dévêts,,dévêts,dévêts,,,,,
IND-IM,dévêtais,dévêtais,dévêtait,dévêtais,dévêtais,dévêtait,,,,
IND-FS,dévêtirai,dévêtiras,dévêtira,dévêtirai,dévêtiras,dévêtira,,,,
IND-PS,dévêtis,dévêtis,dévêtit,dévêtis,dévêtis,dévêtit,,,,
SUB-PR,dévête,dévêtes,dévête,dévête,dévêtes,dévête,,,,
SUB-IM,dévêtisse,dévêtisses,dévêtît,dévêtisse,dévêtisses,dévêtît,,,,
CON-PR,dévêtirais,dévêtirais,dévêtirait,dévêtirais,dévêtirais,dévêtirait,,,,
IMP-PR,,dévêts,,,dévêts,,,,,
PAR-PR,,,dévêtant,,,dévêtant,,,,
