timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,encours,encours,encourt,encours,encours,encourt,,,,
IND-IM,encourais,encourais,encourait,encourais,encourais,encourait,,,,
IND-FS,encourrai,encourras,encourra,encourrai,encourras,encourra,,,,
IND-PS,encourus,encourus,encourut,encourus,encourus,encourut,,,,
SUB-PR,encoure,encoures,encoure,encoure,encoures,encoure,,,,
SUB-IM,encourusse,encourusses,encourÃ»t,encourusse,encourusses,encourÃ»t,,,,
CON-PR,encourrais,encourrais,encourrait,encourrais,encourrais,encourrait,,,,
IMP-PR,,encours,,,encours,,,,,
PAR-PR,,,encourant,,,encourant,,,,
