timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,enquiers,enquiers,enquiert,enquiers,enquiers,enquiert,,,,
IND-IM,enquérais,enquérais,enquérait,enquérais,enquérais,enquérait,,,,
IND-FS,enquerrai,enquerras,enquerra,enquerrai,enquerras,enquerra,,,,
IND-PS,enquis,enquis,enquit,enquis,enquis,enquit,,,,
SUB-PR,enquière,enquières,enquière,enquière,enquières,enquière,,,,
SUB-IM,enquisse,enquisses,enquÃ®t,enquisse,enquisses,enquÃ®t,,,,
CON-PR,enquerrais,enquerrais,enquerrait,enquerrais,enquerrais,enquerrait,,,,
IMP-PR,,enquiers,,,enquiers,,,,,
PAR-PR,,,enquérant,,,enquérant,,,,
