timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,entrevois,entrevois,entrevoit,entrevois,entrevois,entrevoit,,,,
IND-IM,entrevoyais,entrevoyais,entrevoyait,entrevoyais,entrevoyais,entrevoyait,,,,
IND-FS,entreverrai,entreverras,entreverra,entreverrai,entreverras,entreverra,,,,
IND-PS,entrevis,entrevis,entrevit,entrevis,entrevis,entrevit,,,,
SUB-PR,entrevoie,entrevoies,entrevoie,entrevoie,entrevoies,entrevoie,,,,
SUB-IM,entrevisse,entrevisses,entrev̨t,entrevisse,entrevisses,entrev̨t,,,,
CON-PR,entreverrais,entreverrais,entreverrait,entreverrais,entreverrais,entreverrait,,,,
IMP-PR,,entrevois,,,entrevois,,,,,
PAR-PR,,,entrevoyant,,,entrevoyant,,,,
