timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,exclus,exclus,exclut,exclus,exclus,exclut,,,,
IND-IM,excluais,excluais,excluait,excluais,excluais,excluait,,,,
IND-FS,exclurai,excluras,exclura,exclurai,excluras,exclura,,,,
IND-PS,exclus,exclus,exclut,exclus,exclus,exclut,,,,
SUB-PR,exclue,exclues,exclue,exclue,exclues,exclue,,,,
SUB-IM,exclusse,exclusses,exclÃ»t,exclusse,exclusses,exclÃ»t,,,,
CON-PR,exclurais,exclurais,exclurait,exclurais,exclurais,exclurait,,,,
IMP-PR,,exclus,,,exclus,,,,,
PAR-PR,,,excluant,,,excluant,,,,
