timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,inclus,inclus,inclut,inclus,inclus,inclut,,,,
IND-IM,incluais,incluais,incluait,incluais,incluais,incluait,,,,
IND-FS,inclurai,incluras,inclura,inclurai,incluras,inclura,,,,
IND-PS,inclus,inclus,inclut,inclus,inclus,inclut,,,,
SUB-PR,inclue,inclues,inclue,inclue,inclues,inclue,,,,
SUB-IM,inclusse,inclusses,inclÃ»t,inclusse,inclusses,inclÃ»t,,,,
CON-PR,inclurais,inclurais,inclurait,inclurais,inclurais,inclurait,,,,
IMP-PR,,inclus,,,inclus,,,,,
PAR-PR,,,incluant,,,incluant,,,,
