timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,induis,induis,induit,induis,induis,induit,,,,
IND-IM,induisais,induisais,induisait,induisais,induisais,induisait,,,,
IND-FS,induirai,induiras,induira,induirai,induiras,induira,,,,
IND-PS,induisis,induisis,induisit,induisis,induisis,induisit,,,,
SUB-PR,induise,induises,induise,induise,induises,induise,,,,
SUB-IM,induisisse,induisisses,induis̨t,induisisse,induisisses,induis̨t,,,,
CON-PR,induirais,induirais,induirait,induirais,induirais,induirait,,,,
IMP-PR,,induis,,,induis,,,,,
PAR-PR,,,induisant,,,induisant,,,,
