timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,méconnais,méconnais,méconnaît,méconnais,méconnais,méconnaît,,,,
IND-IM,méconnaissais,méconnaissais,méconnaissait,méconnaissais,méconnaissais,méconnaissait,,,,
IND-FS,méconnaîtrai,méconnaîtras,méconnaîtra,méconnaîtrai,méconnaîtras,méconnaîtra,,,,
IND-PS,méconnus,méconnus,méconnut,méconnus,méconnus,méconnut,,,,
SUB-PR,méconnaisse,méconnaisses,méconnaisse,méconnaisse,méconnaisses,méconnaisse,,,,
SUB-IM,méconnusse,méconnusses,méconnût,méconnusse,méconnusses,méconnût,,,,
CON-PR,méconnaîtrais,méconnaîtrais,méconnaîtrait,méconnaîtrais,méconnaîtrais,méconnaîtrait,,,,
IMP-PR,,méconnais,,,méconnais,,,,,
PAR-PR,,,méconnaissant,,,méconnaissant,,,,
