timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,méfais,méfais,méfait,méfais,méfais,méfait,,,,
IND-IM,méfaisais,méfaisais,méfaisait,méfaisais,méfaisais,méfaisait,,,,
IND-FS,méferai,méferas,méfera,méferai,méferas,méfera,,,,
IND-PS,méfis,méfis,méfit,méfis,méfis,méfit,,,,
SUB-PR,méfasse,méfasses,méfasse,méfasse,méfasses,méfasse,,,,
SUB-IM,méfisse,méfisses,méfît,méfisse,méfisses,méfît,,,,
CON-PR,méferais,méferais,méferait,méferais,méferais,méferait,,,,
IMP-PR,,méfais,,,méfais,,,,,
PAR-PR,,,méfaisant,,,méfaisant,,,,
