timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,mévends,mévends,mévend,mévends,mévends,mévend,,,,
IND-IM,mévendais,mévendais,mévendait,mévendais,mévendais,mévendait,,,,
IND-FS,mévendrai,mévendras,mévendra,mévendrai,mévendras,mévendra,,,,
IND-PS,mévendis,mévendis,mévendit,mévendis,mévendis,mévendit,,,,
SUB-PR,mévende,mévendes,mévende,mévende,mévendes,mévende,,,,
SUB-IM,mévendisse,mévendisses,mévendît,mévendisse,mévendisses,mévendît,,,,
CON-PR,mévendrais,mévendrais,mévendrait,mévendrais,mévendrais,mévendrait,,,,
IMP-PR,,mévends,,,mévends,,,,,
PAR-PR,,,mévendant,,,mévendant,,,,
