timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,nais,nais,naÃ®t,nais,nais,naÃ®t,,,,
IND-IM,naissais,naissais,naissait,naissais,naissais,naissait,,,,
IND-FS,naîtrai,naîtras,naîtra,naîtrai,naîtras,naîtra,,,,
IND-PS,naquis,naquis,naquit,naquis,naquis,naquit,,,,
SUB-PR,naisse,naisses,naisse,naisse,naisses,naisse,,,,
SUB-IM,naquisse,naquisses,naquÃ®t,naquisse,naquisses,naquÃ®t,,,,
CON-PR,naîtrais,naîtrais,naîtrait,naîtrais,naîtrais,naîtrait,,,,
IMP-PR,,nais,,,nais,,,,,
PAR-PR,,,naissant,,,naissant,,,,
