1S,2S,3S,1P,2P,3P,1SM,2SM,3SM,1PM,2PM,3PM,1SF,2SF,3SF,1PF,2PF,3PF
indicatif présent:nuis,nuis,nuit,nuisons,nuisez,nuisent,,,,,,,,,,,,
indicatif imparfait:nuisais,nuisais,nuisait,nuisions,nuisiez,nuisaient,,,,,,,,,,,,
indicatif futur simple:nuirai,nuiras,nuira,nuirons,nuirez,nuiront,,,,,,,,,,,,
indicatif passé simple:nuisis,nuisis,nuisit,nuisîmes,nuisîtes,nuisirent,,,,,,,,,,,,
subjonctif présent:nuise,nuises,nuise,nuisions,nuisiez,nuisent,,,,,,,,,,,,
subjonctif imparfait:nuisisse,nuisisses,nuisÃ®t,nuisissions,nuisissiez,nuisissent,,,,,,,,,,,,
conditionnel présent:nuirais,nuirais,nuirait,nuirions,nuiriez,nuiraient,,,,,,,,,,,,
impératif présent:,nuis,,nuisons,nuisez,,,,,,,,,,,,,
participe présent:,,nuisant,,,,,,,,,,,,,,,
participe passé:,,,,,,,,,,,,,,,,,
