timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,occlus,occlus,occlut,occlus,occlus,occlut,,,,
IND-IM,occluais,occluais,occluait,occluais,occluais,occluait,,,,
IND-FS,occlurai,occluras,occlura,occlurai,occluras,occlura,,,,
IND-PS,occlus,occlus,occlut,occlus,occlus,occlut,,,,
SUB-PR,occlue,occlues,occlue,occlue,occlues,occlue,,,,
SUB-IM,occlusse,occlusses,occlÃ»t,occlusse,occlusses,occlÃ»t,,,,
CON-PR,occlurais,occlurais,occlurait,occlurais,occlurais,occlurait,,,,
IMP-PR,,occlus,,,occlus,,,,,
PAR-PR,,,occluant,,,occluant,,,,
