timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,ois,ois,oit,ois,ois,oit,,,,
IND-IM,oyais,oyais,oyait,oyais,oyais,oyait,,,,
IND-FS,oirai/ouïrai/orrai,oiras/ouïras/orras,oira/ouïra/orra,oirai/ouïrai/orrai,oiras/ouïras/orras,oira/ouïra/orra,,,,
IND-PS,ouïs,ouïs,ouït,ouïs,ouïs,ouït,,,,
SUB-PR,oie,oies,oie,oie,oies,oie,,,,
SUB-IM,ouïsse,ouïsses,ouït,ouïsse,ouïsses,ouït,,,,
CON-PR,oirais/ouïrais/orrais,oirais/ouïrais/orrais,oirait/ouïrait/orrait,oirais/ouïrais/orrais,oirais/ouïrais/orrais,oirait/ouïrait/orrait,,,,
IMP-PR,,ois,,,ois,,,,,
PAR-PR,,,oyant,,,oyant,,,,
