timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,parais,parais,paraÃ®t,parais,parais,paraÃ®t,,,,
IND-IM,paraissais,paraissais,paraissait,paraissais,paraissais,paraissait,,,,
IND-FS,paraîtrai,paraîtras,paraîtra,paraîtrai,paraîtras,paraîtra,,,,
IND-PS,parus,parus,parut,parus,parus,parut,,,,
SUB-PR,paraisse,paraisses,paraisse,paraisse,paraisses,paraisse,,,,
SUB-IM,parusse,parusses,parÃ»t,parusse,parusses,parÃ»t,,,,
CON-PR,paraîtrais,paraîtrais,paraîtrait,paraîtrais,paraîtrais,paraîtrait,,,,
IMP-PR,,parais,,,parais,,,,,
PAR-PR,,,paraissant,,,paraissant,,,,
