timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,parcours,parcours,parcourt,parcours,parcours,parcourt,,,,
IND-IM,parcourais,parcourais,parcourait,parcourais,parcourais,parcourait,,,,
IND-FS,parcourrai,parcourras,parcourra,parcourrai,parcourras,parcourra,,,,
IND-PS,parcourus,parcourus,parcourut,parcourus,parcourus,parcourut,,,,
SUB-PR,parcoure,parcoures,parcoure,parcoure,parcoures,parcoure,,,,
SUB-IM,parcourusse,parcourusses,parcourÃ»t,parcourusse,parcourusses,parcourÃ»t,,,,
CON-PR,parcourrais,parcourrais,parcourrait,parcourrais,parcourrais,parcourrait,,,,
IMP-PR,,parcours,,,parcours,,,,,
PAR-PR,,,parcourant,,,parcourant,,,,
