timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,perçois,perçois,perçoit,perçois,perçois,perçoit,,,,
IND-IM,percevais,percevais,percevait,percevais,percevais,percevait,,,,
IND-FS,percevrai,percevras,percevra,percevrai,percevras,percevra,,,,
IND-PS,perçus,perçus,perçut,perçus,perçus,perçut,,,,
SUB-PR,perçoive,perçoives,perçoive,perçoive,perçoives,perçoive,,,,
SUB-IM,perçusse,perçusses,perçût,perçusse,perçusses,perçût,,,,
CON-PR,percevrais,percevrais,percevrait,percevrais,percevrais,percevrait,,,,
IMP-PR,,perÃ§ois,,,perÃ§ois,,,,,
PAR-PR,,,percevant,,,percevant,,,,
