timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,pourvois,pourvois,pourvoit,pourvois,pourvois,pourvoit,,,,
IND-IM,pourvoyais,pourvoyais,pourvoyait,pourvoyais,pourvoyais,pourvoyait,,,,
IND-FS,pourvoirai,pourvoiras,pourvoira,pourvoirai,pourvoiras,pourvoira,,,,
IND-PS,pourvus,pourvus,pourvut,pourvus,pourvus,pourvut,,,,
SUB-PR,pourvoie,pourvoies,pourvoie,pourvoie,pourvoies,pourvoie,,,,
SUB-IM,pourvusse,pourvusses,pourvÃ»t,pourvusse,pourvusses,pourvÃ»t,,,,
CON-PR,pourvoirais,pourvoirais,pourvoirait,pourvoirais,pourvoirais,pourvoirait,,,,
IMP-PR,,pourvois,,,pourvois,,,,,
PAR-PR,,,pourvoyant,,,pourvoyant,,,,
