timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,pressens,pressens,pressent,pressens,pressens,pressent,,,,
IND-IM,pressentais,pressentais,pressentait,pressentais,pressentais,pressentait,,,,
IND-FS,pressentirai,pressentiras,pressentira,pressentirai,pressentiras,pressentira,,,,
IND-PS,pressentis,pressentis,pressentit,pressentis,pressentis,pressentit,,,,
SUB-PR,pressente,pressentes,pressente,pressente,pressentes,pressente,,,,
SUB-IM,pressentisse,pressentisses,pressent̨t,pressentisse,pressentisses,pressent̨t,,,,
CON-PR,pressentirais,pressentirais,pressentirait,pressentirais,pressentirais,pressentirait,,,,
IMP-PR,,pressens,,,pressens,,,,,
PAR-PR,,,pressentant,,,pressentant,,,,
