timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,promeus,promeus,promeut,promeus,promeus,promeut,,,,
IND-IM,promouvais,promouvais,promouvait,promouvais,promouvais,promouvait,,,,
IND-FS,promouvrai,promouvras,promouvra,promouvrai,promouvras,promouvra,,,,
IND-PS,promus,promus,promut,promus,promus,promut,,,,
SUB-PR,promeuve,promeuves,promeuve,promeuve,promeuves,promeuve,,,,
SUB-IM,promusse,promusses,promÃ»t,promusse,promusses,promÃ»t,,,,
CON-PR,promouvrais,promouvrais,promouvrait,promouvrais,promouvrais,promouvrait,,,,
IMP-PR,,promeus,,,promeus,,,,,
PAR-PR,,,promouvant,,,promouvant,,,,
