timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,prédis,prédis,prédit,prédis,prédis,prédit,,,,
IND-IM,prédisais,prédisais,prédisait,prédisais,prédisais,prédisait,,,,
IND-FS,prédirai,prédiras,prédira,prédirai,prédiras,prédira,,,,
IND-PS,prédis,prédis,prédit,prédis,prédis,prédit,,,,
SUB-PR,prédise,prédises,prédise,prédise,prédises,prédise,,,,
SUB-IM,prédisse,prédisses,prédît,prédisse,prédisses,prédît,,,,
CON-PR,prédirais,prédirais,prédirait,prédirais,prédirais,prédirait,,,,
IMP-PR,,prédis,,,prédis,,,,,
PAR-PR,,,prédisant,,,prédisant,,,,
