timecode,1S,2S,3S,1S,2S,3S,3SM,3SF,3PM,3PF
IND-PR,prévaux,prévaux,prévaut,prévaux,prévaux,prévaut,,,,
IND-IM,prévalais,prévalais,prévalait,prévalais,prévalais,prévalait,,,,
IND-FS,prévaudrai,prévaudras,prévaudra,prévaudrai,prévaudras,prévaudra,,,,
IND-PS,prévalus,prévalus,prévalut,prévalus,prévalus,prévalut,,,,
SUB-PR,prévale,prévales,prévale,prévale,prévales,prévale,,,,
SUB-IM,prévalusse,prévalusses,prévalût,prévalusse,prévalusses,prévalût,,,,
CON-PR,prévaudrais,prévaudrais,prévaudrait,prévaudrais,prévaudrais,prévaudrait,,,,
IMP-PR,,prévaux,,,prévaux,,,,,
PAR-PR,,,prévalant,,,prévalant,,,,
